"Terms","Rank","ASIN/ISBN","Rank Type","Date/time Collected","tracking"
"entrepreneurship","10","0307887898","search","2015-07-17 17:46:37.677278","no"
"entrepreneurship","148","0307463745","search","2015-07-17 17:46:37.677278","no"
"achieve potential","172","B00ALBR6LO","search","2015-07-17 17:46:37.677278","yes"
"privacy issues","294","B00M60PIXQ","search","2015-07-17 17:46:37.677278","yes"
"work remotely from home","4","B00C0ALZ0W","search","2015-07-17 17:46:37.677278","yes"
"first job after college","14","0804141444","search","2015-07-17 17:46:37.677278","yes"
"first job after college","24","0385346654","search","2015-07-17 17:46:37.677278","yes"
"build a career","8","0307888908","search","2015-07-17 17:46:37.677278","yes"
"build a career","103","0553446967","search","2015-07-17 17:46:37.677278","no"
"build a career","244","0767927672","search","2015-07-17 17:46:37.677278","no"
"unlocking potential","119","038534936X","search","2015-07-17 17:46:37.677278","no"
"reputation rich","1","0385347596","search","2015-07-17 17:46:37.677278","yes"
"reputation rich","10","0307341453","search","2015-07-17 17:46:37.677278","no"
"power of reputation","11","0385347596","search","2015-07-17 17:46:37.677278","yes"
"reputation.com","1","0385347596","search","2015-07-17 17:46:37.677278","yes"
"premonitions","182","B007REKL1A","search","2015-07-17 17:46:37.677278","yes"
"premonitions","236","B00G1IV9T6","search","2015-07-17 17:46:37.677278","yes"
"Amish quilt","32","0307729958","search","2015-07-17 17:46:37.677278","yes"
"Amish quilt","55","B0019O6J2E","search","2015-07-17 17:46:37.677278","yes"
"Amish quilt","59","1601427131","search","2015-07-17 17:46:37.677278","yes"
"Amish quilt","99","B0019O6J2O","search","2015-07-17 17:46:37.677278","yes"
"Amish quilt","100","B00139XSKQ","search","2015-07-17 17:46:37.677278","yes"
"orchard","149","0307730026","search","2015-07-17 17:46:37.677278","yes"
"orchard","184","0307729982","search","2015-07-17 17:46:37.677278","yes"
"orchard","189","0307730069","search","2015-07-17 17:46:37.677278","yes"
"orchard","203","0307730042","search","2015-07-17 17:46:37.677278","yes"
"telecommuting","1","B00C0ALZ0W","search","2015-07-17 17:46:37.677278","yes"
"professional growth","31","B00H6JBFOS","search","2015-07-17 17:46:37.677278","yes"
"professional growth","84","B00BVJG2P6","search","2015-07-17 17:46:37.677278","yes"
"professional growth","124","B00GL3PZ0K","search","2015-07-17 17:46:37.677278","yes"
"professional growth","129","B00GL3PZ0K","search","2015-07-17 17:46:37.677278","yes"
"professional growth","135","B0050DIWHU","search","2015-07-17 17:46:37.677278","yes"
"workplace culture","20","0767920570","search","2015-07-17 17:46:37.677278","no"
"building a career","33","0307719561","search","2015-07-17 17:46:37.677278","no"
"building a career","83","0307888908","search","2015-07-17 17:46:37.677278","yes"
"building a career","112","0553446967","search","2015-07-17 17:46:37.677278","no"
"trusting relationships","2","0385521332","search","2015-07-17 17:46:37.677278","yes"
"trusting relationships","51","0385346654","search","2015-07-17 17:46:37.677278","yes"
"nature of pressure","4","0804136726","search","2015-07-17 17:46:37.677278","yes"
"adapt to the future","1","0307888908","search","2015-07-17 17:46:37.677278","yes"
"deep relationships","17","0385521332","search","2015-07-17 17:46:37.677278","yes"
"college graduation gift","281","0804141444","search","2015-07-17 17:46:37.677278","yes"
"interview stress","4","B00N6PESWC","search","2015-07-17 17:46:37.677278","yes"
"startup founders","5","0307888908","search","2015-07-17 17:46:37.677278","yes"
"startup founders","15","0307887898","search","2015-07-17 17:46:37.677278","no"
"startup founders","31","0804139296","search","2015-07-17 17:46:37.677278","no"
"power of choice","131","B00G1J1D28","search","2015-07-17 17:46:37.677278","yes"
"power of choice","265","0307719227","search","2015-07-17 17:46:37.677278","no"
"spreading happiness","1","0770436730","search","2015-07-17 17:46:37.677278","yes"
"spreading happiness","3","0307591549","search","2015-07-17 17:46:37.677278","no"
"building trusting relationships","2","0385521332","search","2015-07-17 17:46:37.677278","yes"
"social media mistakes","87","0385347596","search","2015-07-17 17:46:37.677278","yes"
"outside the box thinking","149","0770434002","search","2015-07-17 17:46:37.677278","yes"
